'tagfield','tagsubfield','name','repeatable','mandatory'
'010','a','Nummer',0,0
'015','a','Nummer',0,0
'015','b','Kilde',0,0
'019','a','Aldersgruppemerker for barnebøker.',0,0
'019','d','Litterær form/genre.',0,0
'019','e','Litteratur tilpasset visse brukergrupper.',0,0
'019','f','Andre grupper.',0,0
'020','a','ISBN',0,0
'020','b','Innbindingsinformasjon',0,0
'020','c','Leveringsbetingelser',0,0
'020','g','Andre tilføyelser.',0,0
'020','z','Feil ISBN.',0,0
'022','a','Gyldig ISSN.(1.8A-1.8B1, 1.8C)',0,0
'022','y','Ukorrekt ISSN',0,0
'022','z','Kansellert ISSN.',0,0
'024','a','Standardnummer',0,0
'024','c','Leveringsbetingelser',0,0
'024','g','Andre tilføyelser.',0,0
'024','z','Feil standardnummer.',0,0
'025','a','Nummer.',0,0
'027','a','STRN.',0,0
'027','z','Feil eller forkastet STRN.',0,0
'028','a','Utgivernummer/edisjonsnummer eller forleggernummer.',0,0
'028','b','Utgiver',0,0
'030','a','Gyldig CODEN.',0,0
'030','z','Ugyldig eller forkastet CODEN.',0,0
'033','a','Dato for innspilling/opptak.',0,0
'033','b','Kode for geografisk område.',0,0
'033','a',,0,0
'040','a','Katalogiseringskilde.',0,0
'041','a','Språk i tekst/lydspor',0,0
'041','b','Språk i sammendrag/undertekster',0,0
'041','g','Språk i medfølgende materiale',0,0
'041','h','Språk i originaldokument',0,0
'043','a','Kode for produsentland.',0,0
'045','a','År (f.eks. komposisjonsår). (R)',1,0
'060','a','Klassifikasjonsnummer',0,0
'060','z','Hovednummer',0,0
'060','7','Del av dokumentet som klassifikasjonskoden gjelder.',0,0
'074','a','Kode.',0,0
'080','a','Klassifikasjonsnummer.',0,0
'080','e','Oppslagsterm til emneregister',0,0
'080','z','Nummerets karakter ',0,0
'080','7','Del av dokumentet som klassifikasjonskoden gjelder.',0,0
'082','a','Klassifikasjonsnummer.',0,0
'082','e','Oppslagsterm til emneregister',0,0
'082','x','Hjelpetabeller',0,0
